gene,logP
ENSG00000064489,0.4
ENSG00000064490,0
ENSG00000064545,0.3
ENSG00000064547,-0.1
ENSG00000064601,-1.4
ENSG00000064607,-0.6
ENSG00000064651,0.1
ENSG00000064652,3.8
ENSG00000064655,0
ENSG00000064666,6.2
ENSG00000064687,-4.6
ENSG00000064692,-1.5
ENSG00000064703,1.4
ENSG00000064726,0.5
ENSG00000064763,1.6
ENSG00000064787,-1.3
ENSG00000064835,0.1
ENSG00000064886,-0.1
ENSG00000064932,1.3
ENSG00000064933,4.3
ENSG00000064961,1.4
ENSG00000064989,-1
ENSG00000064995,0.1
ENSG00000064999,0.7
ENSG00000065000,-0.1
ENSG00000065029,-0.4
ENSG00000065054,-0.2
ENSG00000065057,-0.3
ENSG00000065060,-0.6
ENSG00000065135,0.4
ENSG00000065150,-0.6
ENSG00000065154,0.2
ENSG00000065183,0.2
ENSG00000065243,0.5
ENSG00000065268,0.6
ENSG00000065308,2.8
ENSG00000065320,1
ENSG00000065325,0.1
ENSG00000065328,-0.4
ENSG00000065357,-0.4
ENSG00000065361,0.2
ENSG00000065371,-0.1
ENSG00000065413,-0.1
ENSG00000065427,0.3
ENSG00000065457,-1.1
ENSG00000065485,-0.6
ENSG00000065491,-3.1
ENSG00000065518,-1.2
ENSG00000065526,6.4
ENSG00000065534,0.1
ENSG00000065548,-0.4
ENSG00000065559,0.5
ENSG00000065600,-0.6
ENSG00000065609,0.2
ENSG00000065613,0.5
ENSG00000065615,-0.3
ENSG00000065618,-0.1
ENSG00000065621,0
ENSG00000065665,-2.4
ENSG00000065675,0.4
ENSG00000065717,2
ENSG00000065802,2.3
ENSG00000065809,-7.6
ENSG00000065833,-3
ENSG00000065882,4.3
ENSG00000065883,1
ENSG00000065911,0.5
ENSG00000065923,-0.7
ENSG00000065970,0.1
ENSG00000065978,-0.3
ENSG00000065989,1.2
ENSG00000066027,1.1
ENSG00000066032,NA
ENSG00000066044,0.3
ENSG00000066056,0.4
ENSG00000066084,-1.1
ENSG00000066117,0.1
ENSG00000066135,-3.5
ENSG00000066136,-2.1
ENSG00000066185,-0.6
ENSG00000066230,-0.2
ENSG00000066248,-0.1
ENSG00000066279,-1.9
ENSG00000066294,NA
ENSG00000066322,9.7
ENSG00000066336,-0.4
ENSG00000066379,-0.3
ENSG00000066382,-0.5
ENSG00000066405,-0.1
ENSG00000066422,-2
ENSG00000066427,-0.1
ENSG00000066455,0
ENSG00000066468,-3.2
ENSG00000066557,0
ENSG00000066583,0
ENSG00000066629,0.3
ENSG00000066651,-0.3
ENSG00000066654,-0.1
ENSG00000066697,-4.9
ENSG00000066735,-0.2
ENSG00000066739,-0.9
ENSG00000066777,0.4
ENSG00000066813,NA
ENSG00000066827,-1.6
ENSG00000066855,2.1
ENSG00000066923,0.1
ENSG00000066926,-0.3
ENSG00000066933,0.6
ENSG00000067048,0
ENSG00000067057,0.1
ENSG00000067064,0
ENSG00000067066,0
ENSG00000067082,10
ENSG00000067113,-4.7
ENSG00000067141,-0.8
ENSG00000067167,3.2
ENSG00000067177,3.2
ENSG00000067182,0.4
ENSG00000067191,0.7
ENSG00000067208,1.1
ENSG00000067221,-2.3
ENSG00000067225,-1.4
ENSG00000067248,-0.1
ENSG00000067334,0.3
ENSG00000067365,0.2
ENSG00000067369,-10
ENSG00000067445,-8.1
ENSG00000067533,0.4
ENSG00000067560,0.5
ENSG00000067596,0.1
ENSG00000067601,-0.3
ENSG00000067606,0.1
ENSG00000067646,0.1
ENSG00000067704,0.7
ENSG00000067715,0
ENSG00000067798,8.3
ENSG00000067829,-0.3
ENSG00000067836,0
ENSG00000067840,-0.4
ENSG00000067842,-0.8
ENSG00000067900,6.8
ENSG00000067955,2.5
ENSG00000067992,0.7
ENSG00000068001,-2
ENSG00000068024,0.3
ENSG00000068028,2
ENSG00000068078,0.3
ENSG00000068079,1.2
ENSG00000068097,-0.4
ENSG00000068120,2.2
ENSG00000068137,-0.2
ENSG00000068305,3.3
ENSG00000068308,1.4
ENSG00000068323,-0.6
ENSG00000068354,-0.2
ENSG00000068366,-0.8
ENSG00000068383,5.5
ENSG00000068394,0.1
ENSG00000068400,-0.1
ENSG00000068438,0.1
ENSG00000068489,-0.6
ENSG00000068615,0
ENSG00000068650,0
ENSG00000068654,0.9
ENSG00000068697,-1.7
ENSG00000068724,-0.2
ENSG00000068745,-1.3
ENSG00000068781,0.4
ENSG00000068784,-3.3
ENSG00000068793,1.1
